ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
16265#57,0#technician#married#primary#no#19,0#yes#no#cellular#23#jul#1,0#-1,0#0#unknown#no
23480#39,0#technician#married#tertiary#no#-204,0#yes#no#cellular#28#aug#4,0#-1,0#0#unknown#no
1166#32,0#management#single#tertiary#no#111,0#yes#no#unknown#8#may#2,0#-1,0#0#unknown#no
27075#36,0#unemployed#single#primary#no#1729,0#no#no#cellular#21#nov#1,0#-1,0#0#unknown#no
27709#42,0#services#single#unknown#no#410,0#no#no#cellular#21#nov#2,0#-1,0#0#unknown#no
42348#20,0#student#single#secondary#no#215,0#no#no#cellular#24#nov#1,0#95,0#5#success#yes
31277#29,0#technician#married#secondary#no#2326,0#no#no#cellular#6#mar#1,0#-1,0#0#unknown#yes
36957#39,0#admin.#married#secondary#no#0,0#no#no#telephone#12#may#4,0#-1,0#0#unknown#no
38507##student#single#secondary#no#1919,0#yes#no#cellular#15#may#1,0#351,0#4#failure#no
19590#53,0#blue-collar#married#primary#no#787,0#yes#yes#cellular#7#aug#2,0#-1,0#0#unknown#no
44500#30,0#technician#single#tertiary#no#2325,0#no#no#cellular#10#aug#1,0#127,0#7#failure#yes
23741#59,0#retired#married#primary#no#4450,0#no#no#cellular#28#aug#3,0#-1,0#0#unknown#no
16376#35,0#admin.#married#secondary#no#1345,0#yes#no#cellular#23#jul#1,0#-1,0#0#unknown#no
14632#47,0#management#single#tertiary#no#512,0#no#no#cellular#15#jul#2,0#-1,0#0#unknown#no
35296#25,0#services#single#secondary#no#0,0#yes#no#cellular#7#may#1,0#-1,0#0#unknown#no
19080#59,0#retired#married#primary#yes#-1,0#no#no#cellular#5#aug#2,0#-1,0#0#unknown#no
5648#41,0#management#divorced#secondary#no#71,0#yes#no#unknown#26#may#3,0#-1,0#0#unknown#no
14385#50,0#technician#married#secondary#no#156,0#no#yes#cellular#14#jul#3,0#-1,0#0#unknown#yes
36821#48,0#blue-collar#single#secondary#no#574,0#no#no#cellular#12#may#2,0#-1,0#0#unknown#no
43020#41,0#management#married#tertiary#no#27696,0#no#no#cellular#12#feb#2,0#184,0#3#success#yes
43277##retired#married#primary#no#1765,0#no#no#telephone#11#mar#2,0#181,0#2#success#no
18334#41,0#blue-collar#married#secondary#no#750,0#yes#no#cellular#31#jul#2,0#-1,0#0#unknown#no
38710#27,0#admin.#single#tertiary#no#3672,0#yes#no#cellular#15#may#2,0#351,0#5#failure#no
22398#57,0#technician#married#secondary#no#20,0#no#no#cellular#22#aug#2,0#-1,0#0#unknown#no
44153#24,0#student#single#secondary#no#1123,0#no#no#cellular#13#jul#1,0#412,0#1#other#yes
32991#30,0#services#single#secondary#no#-172,0#yes#yes#cellular#17#apr#4,0#329,0#2#other#no
42230#31,0#management#single#tertiary#no#533,0#no#no#cellular#12#nov#3,0#93,0#6#success#yes
38643#33,0#management#married#secondary#no#1423,0#yes#no#cellular#15#may#2,0#364,0#3#failure#no
5343#34,0#blue-collar#married#secondary#no#2495,0#yes#no#unknown#23#may#1,0#-1,0#0#unknown#yes
21800#52,0#management#married#secondary#no#264,0#no#no#cellular#20#aug#8,0#-1,0#0#unknown#no
4696#36,0#blue-collar#single#secondary#no#2390,0#yes#no#unknown#20#may#12,0#-1,0#0#unknown#no
7810#25,0#management#single#unknown#no#17,0#yes#no#unknown#30#may#2,0#-1,0#0#unknown#no
5880#30,0#blue-collar#married#secondary#no#187,0#yes#no#unknown#26#may#6,0#-1,0#0#unknown#no
31147#28,0#management#single#tertiary#no#1287,0#yes#no#cellular#26#feb#1,0#-1,0#0#unknown#yes
9369##management#married#secondary#no#794,0#yes#no#unknown#6#jun#3,0#-1,0#0#unknown#no
3229#40,0#services#married#secondary#no#4157,0#yes#no#unknown#15#may#1,0#-1,0#0#unknown#no
13735#38,0#services#married#tertiary#no#-49,0#yes#no#cellular#10#jul#1,0#-1,0#0#unknown#no
30977#45,0#unemployed#single#secondary#no#17609,0#no#no#cellular#9#feb#6,0#-1,0#0#unknown#no
30293##entrepreneur#single#secondary#no#185,0#no#no#cellular#5#feb#1,0#-1,0#0#unknown#no
18260#53,0#entrepreneur#married#tertiary#no#17410,0#no#no#cellular#31#jul#6,0#-1,0#0#unknown#no
28553#38,0#blue-collar#married#secondary#no#220,0#yes#no#cellular#29#jan#2,0#-1,0#0#unknown#no
13530#57,0#self-employed#married#secondary#no#65,0#no#yes#cellular#9#jul#1,0#-1,0#0#unknown#no
41261#35,0#admin.#single#secondary#no#1810,0#yes#no#cellular#25#aug#2,0#92,0#2#failure#no
38751#57,0#blue-collar#married#secondary#no#1521,0#yes#yes#cellular#18#may#2,0#178,0#5#failure#no
39096#29,0#services#single#secondary#no#40,0#yes#no#cellular#18#may#1,0#355,0#2#failure#no
43935#28,0#management#single#tertiary#no#2725,0#no#no#cellular#16#jun#1,0#504,0#1#failure#yes
17338##technician#married#secondary#no#0,0#yes#no#telephone#28#jul#2,0#-1,0#0#unknown#no
12784#35,0#management#single#tertiary#no#12,0#no#no#cellular#7#jul#1,0#-1,0#0#unknown#no
10755#36,0#management#married#tertiary#no#0,0#no#no#unknown#17#jun#3,0#-1,0#0#unknown#no
6515#43,0#blue-collar#divorced#primary#no#6,0#yes#no#unknown#27#may#4,0#-1,0#0#unknown#no
43551#34,0#management#married#tertiary#no#115,0#yes#no#cellular#26#apr#3,0#-1,0#0#unknown#no
14875#30,0#management#married#tertiary#no#319,0#yes#yes#cellular#16#jul#2,0#-1,0#0#unknown#no
17481#49,0#services#married#primary#no#0,0#no#no#telephone#28#jul#7,0#-1,0#0#unknown#no
35776#29,0#technician#married#secondary#no#1599,0#yes#no#cellular#8#may#1,0#-1,0#0#unknown#no
42952#33,0#student#married#secondary#no#1536,0#no#no#cellular#9#feb#1,0#92,0#3#success#yes
34164#36,0#admin.#single#secondary#no#728,0#no#no#cellular#30#apr#1,0#-1,0#0#unknown#yes
41484#31,0#management#married#tertiary#no#155,0#yes#no#cellular#8#sep#1,0#99,0#1#failure#no
27602#47,0#blue-collar#married#secondary#no#473,0#yes#no#cellular#21#nov#2,0#176,0#2#other#no
44273#36,0#technician#divorced#secondary#no#1451,0#yes#no#cellular#23#jul#4,0#93,0#17#other#yes
18794#36,0#blue-collar#married#secondary#no#1550,0#no#no#cellular#31#jul#3,0#-1,0#0#unknown#no
9972#34,0#entrepreneur#married#tertiary#no#4343,0#no#no#unknown#9#jun#4,0#-1,0#0#unknown#no
2768#52,0#housemaid#married#secondary#no#3923,0#yes#no#unknown#14#may#3,0#-1,0#0#unknown#yes
23706##housemaid#married#primary#no#685,0#no#no#cellular#28#aug#7,0#-1,0#0#unknown#no
29833#31,0#unemployed#single#primary#no#406,0#no#no#cellular#4#feb#1,0#-1,0#0#unknown#yes
38229#34,0#housemaid#divorced#secondary#no#787,0#yes#no#cellular#15#may#1,0#-1,0#0#unknown#no
17202##management#single#tertiary#no#0,0#yes#no#cellular#28#jul#3,0#-1,0#0#unknown#no
24981##management#married#secondary#no#2115,0#yes#no#cellular#18#nov#1,0#-1,0#0#unknown#no
7784#42,0#technician#divorced#secondary#no#3043,0#yes#yes#unknown#30#may#5,0#-1,0#0#unknown#no
8603#44,0#blue-collar#married#primary#no#1066,0#yes#no#unknown#3#jun#1,0#-1,0#0#unknown#no
7510#44,0#blue-collar#married#secondary#no#-431,0#yes#no#unknown#29#may#8,0#-1,0#0#unknown#no
10343##admin.#married#secondary#no#545,0#no#no#unknown#12#jun#1,0#-1,0#0#unknown#no
16840#41,0#entrepreneur#married#tertiary#no#0,0#yes#no#telephone#24#jul#16,0#-1,0#0#unknown#no
32705#53,0#blue-collar#married#primary#no#2018,0#yes#yes#cellular#17#apr#1,0#-1,0#0#unknown#no
19361#59,0#retired#married#secondary#no#263,0#no#no#cellular#6#aug#2,0#-1,0#0#unknown#no
2244#36,0#entrepreneur#married#primary#no#177,0#yes#no#unknown#12#may#5,0#-1,0#0#unknown#no
1149#48,0#admin.#divorced#secondary#no#268,0#yes#no#unknown#7#may#4,0#-1,0#0#unknown#no
37405#44,0#management#married#tertiary#no#12392,0#yes#no#cellular#13#may#3,0#343,0#1#other#no
4436##technician#married#tertiary#no#43,0#yes#no#unknown#20#may#2,0#-1,0#0#unknown#no
2394#28,0#admin.#single#secondary#no#296,0#yes#no#unknown#13#may#1,0#-1,0#0#unknown#no
1854#43,0#blue-collar#single#primary#no#36,0#yes#no#unknown#9#may#2,0#-1,0#0#unknown#no
10867#51,0#housemaid#divorced#primary#no#336,0#no#no#unknown#17#jun#1,0#-1,0#0#unknown#no
22076##technician#married#secondary#no#644,0#no#no#telephone#21#aug#13,0#-1,0#0#unknown#no
43635#26,0#student#single#secondary#no#440,0#no#no#unknown#5#may#1,0#-1,0#0#unknown#no
23102#34,0#management#married#tertiary#no#297,0#yes#no#cellular#26#aug#4,0#-1,0#0#unknown#no
4105#32,0#services#married#secondary#no#132,0#yes#yes#unknown#19#may#2,0#-1,0#0#unknown#no
31373#37,0#management#single#tertiary#no#1730,0#no#no#cellular#19#mar#1,0#-1,0#0#unknown#yes
31086#37,0#services#married#secondary#no#1543,0#yes#no#cellular#16#feb#2,0#-1,0#0#unknown#yes
35949#31,0#housemaid#single#secondary#no#49,0#yes#no#cellular#8#may#3,0#360,0#2#failure#no
36101##entrepreneur#single#secondary#no#866,0#yes#no#cellular#11#may#1,0#173,0#1#failure#yes
16428#48,0#blue-collar#married#primary#no#329,0#no#yes#telephone#23#jul#6,0#-1,0#0#unknown#no
18506#28,0#management#married#tertiary#no#22,0#yes#no#cellular#31#jul#3,0#-1,0#0#unknown#no
33500#31,0#management#married#tertiary#no#-235,0#yes#no#cellular#20#apr#2,0#-1,0#0#unknown#no
20672#49,0#blue-collar#married#secondary#no#3779,0#yes#no#cellular#12#aug#9,0#-1,0#0#unknown#no
19429#32,0#management#married#tertiary#no#71,0#no#no#cellular#6#aug#3,0#-1,0#0#unknown#no
42876#42,0#technician#married#tertiary#no#3777,0#yes#no#cellular#4#feb#4,0#-1,0#0#unknown#no
11169#35,0#admin.#married#secondary#no#165,0#yes#no#unknown#18#jun#1,0#-1,0#0#unknown#no
1820#33,0#blue-collar#married#secondary#no#88,0#yes#no#unknown#9#may#2,0#-1,0#0#unknown#no
43380#57,0#management#divorced#tertiary#no#3287,0#no#no#cellular#30#mar#2,0#337,0#1#success#yes
18437#54,0#management#married#tertiary#no#12,0#no#no#telephone#31#jul#4,0#-1,0#0#unknown#no
37536#27,0#student#single#secondary#no#89,0#yes#no#cellular#14#may#3,0#-1,0#0#unknown#no
2331#31,0#blue-collar#married#secondary#no#472,0#yes#no#unknown#13#may#2,0#-1,0#0#unknown#no
43710#32,0#student#single#unknown#no#376,0#no#no#cellular#13#may#2,0#178,0#3#failure#no
42489#19,0#student#single#secondary#no#526,0#no#no#cellular#14#dec#3,0#-1,0#0#unknown#no
6266#32,0#admin.#single#secondary#no#13,0#yes#no#unknown#27#may#2,0#-1,0#0#unknown#no
14540#47,0#admin.#married#secondary#no#0,0#yes#no#cellular#15#jul#4,0#-1,0#0#unknown#no
11416#50,0#management#married#tertiary#no#4045,0#no#no#unknown#19#jun#1,0#-1,0#0#unknown#no
19997#55,0#management#married#tertiary#no#223,0#no#no#cellular#8#aug#5,0#-1,0#0#unknown#no
14580#40,0#entrepreneur#married#secondary#no#0,0#no#yes#cellular#15#jul#4,0#-1,0#0#unknown#no
5717##blue-collar#married#primary#no#259,0#yes#no#unknown#26#may#1,0#-1,0#0#unknown#no
26314#32,0#technician#single#secondary#no#137,0#no#no#cellular#20#nov#4,0#-1,0#0#unknown#no
16892##services#married#secondary#no#-282,0#yes#yes#cellular#25#jul#1,0#-1,0#0#unknown#no
32903#33,0#services#married#secondary#no#-124,0#no#no#cellular#17#apr#2,0#325,0#1#failure#no
10864#39,0#technician#single#secondary#no#2910,0#yes#no#unknown#17#jun#5,0#-1,0#0#unknown#no
4818#33,0#blue-collar#single#secondary#no#2764,0#yes#no#unknown#21#may#1,0#-1,0#0#unknown#no
21562#49,0#technician#married#secondary#no#673,0#yes#no#cellular#19#aug#2,0#-1,0#0#unknown#no
36480#33,0#blue-collar#married#secondary#no#-253,0#yes#no#cellular#12#may#3,0#-1,0#0#unknown#no
41467#53,0#housemaid#married#secondary#no#1182,0#yes#no#cellular#7#sep#1,0#293,0#1#failure#no
20947#52,0#technician#divorced#secondary#no#-558,0#no#no#cellular#14#aug#5,0#-1,0#0#unknown#no
43091##admin.#divorced#tertiary#no#1176,0#no#no#cellular#22#feb#1,0#-1,0#0#unknown#no
3208##entrepreneur#married#tertiary#no#420,0#yes#no#unknown#15#may#1,0#-1,0#0#unknown#no
10062#45,0#blue-collar#married#primary#no#13117,0#no#no#unknown#11#jun#2,0#-1,0#0#unknown#no
43168#73,0#retired#married#unknown#no#519,0#no#no#telephone#26#feb#3,0#133,0#2#success#yes
3045#51,0#unemployed#married#secondary#no#425,0#yes#no#unknown#14#may#14,0#-1,0#0#unknown#no
12781#57,0#retired#married#primary#no#808,0#no#no#telephone#7#jul#1,0#-1,0#0#unknown#no
44622#36,0#management#single#tertiary#no#671,0#yes#no#cellular#1#sep#1,0#457,0#2#failure#no
39339#35,0#technician#single#secondary#no#-196,0#yes#no#cellular#18#may#2,0#-1,0#0#unknown#no
32389#36,0#technician#married#tertiary#no#4596,0#yes#no#cellular#16#apr#2,0#-1,0#0#unknown#yes
24127#50,0#admin.#divorced#secondary#no#237,0#no#yes#telephone#5#nov#1,0#-1,0#0#unknown#yes
15983#42,0#management#married#tertiary#no#1336,0#yes#yes#cellular#22#jul#1,0#-1,0#0#unknown#no
28687##services#single#secondary#no#-205,0#no#no#cellular#30#jan#1,0#-1,0#0#unknown#no
3999#53,0#entrepreneur#married#tertiary#no#2884,0#yes#no#unknown#16#may#4,0#-1,0#0#unknown#no
15500#58,0#housemaid#married#primary#no#237,0#no#no#telephone#18#jul#3,0#-1,0#0#unknown#no
26563#33,0#management#married#tertiary#no#3401,0#no#no#cellular#20#nov#1,0#-1,0#0#unknown#yes
27887#38,0#management#married#tertiary#no#1066,0#yes#no#cellular#28#jan#1,0#189,0#1#failure#no
23218#31,0#management#married#tertiary#no#917,0#yes#no#cellular#27#aug#9,0#-1,0#0#unknown#no
25749#30,0#unknown#single#unknown#no#6929,0#no#no#cellular#19#nov#1,0#-1,0#0#unknown#no
12865#35,0#entrepreneur#married#primary#yes#25,0#no#yes#cellular#7#jul#1,0#-1,0#0#unknown#no
10647#37,0#services#single#secondary#no#1175,0#yes#no#unknown#16#jun#2,0#-1,0#0#unknown#no
39400#28,0#student#single#secondary#no#5916,0#no#no#cellular#22#may#1,0#63,0#5#failure#no
36200#50,0#blue-collar#married#secondary#no#372,0#yes#no#telephone#11#may#1,0#-1,0#0#unknown#no
2371#41,0#blue-collar#married#secondary#no#429,0#yes#no#unknown#13#may#1,0#-1,0#0#unknown#no
3826#24,0#services#single#secondary#no#-248,0#yes#no#unknown#16#may#1,0#-1,0#0#unknown#no
349#44,0#services#married#tertiary#no#510,0#yes#no#unknown#5#may#4,0#-1,0#0#unknown#no
39626#36,0#admin.#single#tertiary#no#635,0#no#no#cellular#26#may#1,0#102,0#1#failure#no
37995#41,0#technician#single#secondary#no#200,0#yes#no#cellular#14#may#6,0#373,0#2#failure#no
22443#35,0#technician#single#tertiary#no#296,0#no#no#cellular#22#aug#2,0#-1,0#0#unknown#no
29965#49,0#management#married#tertiary#no#20,0#yes#no#cellular#4#feb#1,0#-1,0#0#unknown#no
40730#57,0#entrepreneur#married#secondary#no#905,0#no#no#cellular#7#aug#1,0#-1,0#0#unknown#no
8802#30,0#blue-collar#married#secondary#no#578,0#yes#yes#unknown#4#jun#1,0#-1,0#0#unknown#no
12131#50,0#blue-collar#married#secondary#no#278,0#no#no#unknown#20#jun#3,0#-1,0#0#unknown#no
17008#59,0#retired#married#secondary#no#5706,0#yes#no#cellular#25#jul#2,0#-1,0#0#unknown#no
420#33,0#technician#married#secondary#yes#72,0#yes#no#unknown#6#may#1,0#-1,0#0#unknown#no
23604#42,0#technician#married#secondary#no#3,0#no#no#cellular#28#aug#26,0#-1,0#0#unknown#no
14748#38,0#management#single#tertiary#no#83,0#no#yes#telephone#15#jul#7,0#-1,0#0#unknown#no
33910#47,0#blue-collar#married#secondary#no#1730,0#yes#no#cellular#30#apr#1,0#-1,0#0#unknown#yes
21594#30,0#self-employed#married#tertiary#no#1596,0#yes#no#cellular#19#aug#2,0#-1,0#0#unknown#no
2295#36,0#blue-collar#single#secondary#no#90,0#yes#no#unknown#12#may#5,0#-1,0#0#unknown#no
24420#57,0#admin.#married#secondary#no#92,0#no#yes#cellular#17#nov#3,0#-1,0#0#unknown#no
44994#43,0#admin.#single#secondary#no#386,0#no#no#cellular#12#oct#1,0#92,0#4#success#no
2754#52,0#technician#married#secondary#no#0,0#no#no#unknown#14#may#2,0#-1,0#0#unknown#no
37775#30,0#blue-collar#single#secondary#no#-177,0#yes#no#cellular#14#may#1,0#345,0#2#other#no
30991##management#single#tertiary#no#1285,0#yes#no#cellular#9#feb#3,0#252,0#4#other#no
12767#52,0#retired#married#tertiary#no#493,0#no#no#cellular#7#jul#6,0#-1,0#0#unknown#no
29692#27,0#admin.#married#secondary#no#16,0#yes#no#cellular#3#feb#3,0#-1,0#0#unknown#no
7504#31,0#blue-collar#single#primary#no#-502,0#yes#no#unknown#29#may#4,0#-1,0#0#unknown#no
4708#39,0#technician#married#tertiary#no#602,0#yes#no#unknown#20#may#7,0#-1,0#0#unknown#no
13576#43,0#management#single#tertiary#no#3872,0#yes#no#cellular#9#jul#2,0#-1,0#0#unknown#no
15857#45,0#blue-collar#married#primary#no#0,0#yes#no#cellular#21#jul#4,0#-1,0#0#unknown#no
12068#39,0#blue-collar#married#secondary#no#-1002,0#yes#no#unknown#20#jun#5,0#-1,0#0#unknown#no
10689#37,0#entrepreneur#married#tertiary#no#264,0#yes#yes#unknown#16#jun#1,0#-1,0#0#unknown#no
3497#52,0#blue-collar#married#unknown#no#826,0#yes#no#unknown#15#may#2,0#-1,0#0#unknown#no
30381#50,0#management#divorced#tertiary#no#-5,0#yes#no#cellular#5#feb#1,0#8,0#1#other#no
11193#42,0#blue-collar#single#primary#no#4930,0#no#no#unknown#18#jun#1,0#-1,0#0#unknown#yes
27700#39,0#entrepreneur#married#tertiary#no#442,0#no#no#cellular#21#nov#3,0#-1,0#0#unknown#no
33533##blue-collar#married#secondary#no#1440,0#yes#no#cellular#20#apr#2,0#325,0#1#failure#no
37933#38,0#blue-collar#married#secondary#no#1407,0#yes#no#cellular#14#may#3,0#174,0#7#failure#no
12921#45,0#blue-collar#married#primary#no#55,0#no#no#cellular#7#jul#3,0#-1,0#0#unknown#no
27889#44,0#admin.#married#secondary#no#429,0#yes#no#cellular#28#jan#1,0#246,0#4#failure#no
3919#42,0#blue-collar#married#secondary#no#314,0#yes#yes#unknown#16#may#2,0#-1,0#0#unknown#no
21047#42,0#management#divorced#tertiary#no#245,0#no#no#cellular#14#aug#2,0#-1,0#0#unknown#no
16204#58,0#housemaid#married#primary#no#1310,0#yes#yes#cellular#22#jul#2,0#-1,0#0#unknown#no
36567#34,0#services#married#secondary#no#7,0#yes#no#cellular#12#may#1,0#357,0#1#failure#no
2160#39,0#blue-collar#single#primary#no#446,0#yes#no#unknown#12#may#1,0#-1,0#0#unknown#no
22438#31,0#technician#single#secondary#no#125,0#no#no#cellular#22#aug#2,0#-1,0#0#unknown#no
36016##technician#married#secondary#no#1333,0#yes#no#telephone#11#may#5,0#346,0#6#other#no
23004#34,0#technician#single#secondary#no#94,0#yes#no#cellular#26#aug#2,0#-1,0#0#unknown#no
12896#30,0#unemployed#married#secondary#no#85,0#yes#yes#cellular#7#jul#1,0#-1,0#0#unknown#no
28626#28,0#services#single#secondary#no#298,0#no#no#cellular#29#jan#2,0#-1,0#0#unknown#no
44187#60,0#retired#divorced#tertiary#no#979,0#yes#no#cellular#15#jul#1,0#181,0#4#success#yes
1900#49,0#housemaid#divorced#primary#no#164,0#yes#no#unknown#9#may#5,0#-1,0#0#unknown#no
12045#32,0#management#single#tertiary#no#1804,0#yes#no#unknown#20#jun#3,0#-1,0#0#unknown#no
16048#43,0#blue-collar#married#primary#yes#0,0#no#yes#cellular#22#jul#8,0#-1,0#0#unknown#no
27876#46,0#management#divorced#tertiary#no#194,0#no#no#cellular#28#jan#1,0#-1,0#0#unknown#no
11490#47,0#unemployed#married#secondary#no#0,0#no#no#unknown#19#jun#1,0#-1,0#0#unknown#no
972#33,0#technician#married#secondary#no#0,0#yes#no#unknown#7#may#1,0#-1,0#0#unknown#no
4360#37,0#technician#single#secondary#no#61,0#yes#no#unknown#19#may#8,0#-1,0#0#unknown#no
907#27,0#services#single#secondary#no#0,0#yes#no#unknown#7#may#7,0#-1,0#0#unknown#no
21589#36,0#unemployed#divorced#tertiary#no#734,0#no#no#cellular#19#aug#2,0#-1,0#0#unknown#no
16029#55,0#entrepreneur#divorced#tertiary#no#1730,0#no#no#cellular#22#jul#3,0#-1,0#0#unknown#no
16974#58,0#retired#married#secondary#no#992,0#no#no#cellular#25#jul#1,0#-1,0#0#unknown#no
11089#49,0#housemaid#married#primary#no#434,0#yes#yes#unknown#18#jun#3,0#-1,0#0#unknown#no
44626#34,0#management#married#tertiary#no#1388,0#yes#no#cellular#1#sep#1,0#93,0#4#failure#no
13715#40,0#management#married#unknown#no#419,0#yes#no#cellular#10#jul#1,0#-1,0#0#unknown#no
27719##technician#married#tertiary#no#72,0#no#no#telephone#5#dec#1,0#-1,0#0#unknown#no
34567#30,0#blue-collar#single#primary#no#253,0#yes#no#cellular#5#may#1,0#-1,0#0#unknown#yes
44496#44,0#entrepreneur#married#tertiary#no#121,0#no#no#cellular#10#aug#1,0#-1,0#0#unknown#yes
38146#31,0#entrepreneur#single#secondary#no#0,0#yes#no#cellular#15#may#1,0#176,0#1#failure#no
23887#50,0#management#divorced#tertiary#no#0,0#no#no#cellular#29#aug#2,0#-1,0#0#unknown#no
11763#54,0#services#married#unknown#no#386,0#no#yes#unknown#20#jun#1,0#-1,0#0#unknown#yes
22710#54,0#blue-collar#married#primary#no#211,0#no#no#cellular#25#aug#6,0#-1,0#0#unknown#no
26373#34,0#entrepreneur#married#tertiary#no#7962,0#yes#no#cellular#20#nov#2,0#-1,0#0#unknown#no
4015#53,0#technician#divorced#secondary#no#751,0#yes#no#unknown#16#may#4,0#-1,0#0#unknown#no
30176#37,0#self-employed#married#secondary#no#126,0#no#yes#cellular#5#feb#7,0#-1,0#0#unknown#no
6965#33,0#blue-collar#married#secondary#no#625,0#yes#no#unknown#28#may#1,0#-1,0#0#unknown#no
4408#39,0#blue-collar#married#secondary#no#298,0#yes#no#unknown#20#may#1,0#-1,0#0#unknown#no
34648#35,0#services#married#secondary#no#27,0#yes#yes#cellular#5#may#2,0#278,0#3#failure#no
37137##blue-collar#married#secondary#no#865,0#yes#no#cellular#13#may#2,0#-1,0#0#unknown#no
22268#32,0#management#single#tertiary#no#41,0#no#no#cellular#21#aug#5,0#-1,0#0#unknown#yes
30328#28,0#entrepreneur#single#tertiary#no#16,0#no#no#cellular#5#feb#1,0#-1,0#0#unknown#no
26578#35,0#admin.#married#secondary#no#3863,0#yes#no#cellular#20#nov#1,0#-1,0#0#unknown#no
25166#39,0#services#married#secondary#no#173,0#yes#no#cellular#18#nov#2,0#182,0#2#failure#no
5391#36,0#blue-collar#divorced#secondary#no#2278,0#yes#no#unknown#23#may#2,0#-1,0#0#unknown#no
25786#33,0#entrepreneur#married#secondary#no#2,0#yes#yes#cellular#19#nov#5,0#198,0#1#failure#no
18687#37,0#admin.#married#secondary#no#-426,0#yes#yes#cellular#31#jul#30,0#-1,0#0#unknown#no
38035#36,0#blue-collar#married#primary#no#994,0#yes#no#cellular#14#may#2,0#356,0#8#success#no
39838#41,0#management#married#tertiary#no#10758,0#yes#no#cellular#1#jun#1,0#-1,0#0#unknown#no
40424#31,0#technician#single#secondary#no#18,0#no#no#cellular#2#jul#1,0#-1,0#0#unknown#no
29681#53,0#blue-collar#married#secondary#no#483,0#yes#no#cellular#3#feb#3,0#-1,0#0#unknown#no
20455#32,0#management#divorced#tertiary#no#874,0#no#no#cellular#12#aug#6,0#-1,0#0#unknown#yes
22377#44,0#management#divorced#tertiary#no#0,0#no#no#cellular#22#aug#2,0#-1,0#0#unknown#no
41491#24,0#technician#single#secondary#no#726,0#no#no#cellular#8#sep#2,0#-1,0#0#unknown#yes
22638#58,0#services#married#secondary#no#818,0#no#no#cellular#22#aug#1,0#-1,0#0#unknown#no
6626#57,0#services#divorced#secondary#no#-752,0#yes#no#unknown#28#may#1,0#-1,0#0#unknown#no
18346#35,0#services#married#primary#no#14,0#no#yes#cellular#31#jul#8,0#-1,0#0#unknown#no
42619##admin.#divorced#tertiary#no#0,0#yes#yes#cellular#12#jan#1,0#64,0#6#other#no
7307#33,0#management#married#tertiary#no#455,0#yes#yes#unknown#29#may#10,0#-1,0#0#unknown#no
32449#35,0#admin.#married#secondary#no#160,0#yes#yes#cellular#16#apr#1,0#-1,0#0#unknown#no
34515#27,0#unemployed#single#secondary#no#268,0#yes#no#cellular#5#may#1,0#-1,0#0#unknown#no
39912##technician#married#secondary#no#1602,0#yes#no#cellular#2#jun#1,0#-1,0#0#unknown#no
17985#30,0#services#divorced#secondary#no#0,0#yes#yes#cellular#30#jul#3,0#-1,0#0#unknown#no
41029#33,0#management#married#tertiary#no#3363,0#yes#yes#cellular#13#aug#1,0#-1,0#0#unknown#no
39469#35,0#management#single#tertiary#no#2988,0#yes#no#cellular#25#may#1,0#-1,0#0#unknown#no
18083#41,0#services#married#secondary#no#1785,0#no#no#cellular#30#jul#7,0#-1,0#0#unknown#no
41713#37,0#admin.#married#secondary#no#2061,0#yes#yes#cellular#7#oct#2,0#107,0#4#success#no
35544#29,0#management#married#tertiary#no#991,0#no#no#cellular#7#may#2,0#-1,0#0#unknown#no
11902#45,0#admin.#married#unknown#no#1557,0#no#no#unknown#20#jun#5,0#-1,0#0#unknown#no
26346#32,0#blue-collar#divorced#secondary#no#658,0#no#no#cellular#20#nov#2,0#-1,0#0#unknown#no
188#54,0#management#married#secondary#no#4080,0#no#no#unknown#5#may#1,0#-1,0#0#unknown#no
6022#26,0#services#single#secondary#no#901,0#yes#no#unknown#26#may#2,0#-1,0#0#unknown#yes
34201#56,0#management#married#tertiary#no#2333,0#no#no#cellular#4#may#1,0#-1,0#0#unknown#yes
43506#36,0#management#single#tertiary#no#3669,0#no#no#cellular#20#apr#1,0#376,0#1#other#no
1992#44,0#unemployed#married#secondary#no#-407,0#yes#no#unknown#9#may#2,0#-1,0#0#unknown#no
30290#29,0#technician#married#secondary#no#767,0#yes#no#cellular#5#feb#1,0#-1,0#0#unknown#no
42556#49,0#housemaid#married#secondary#no#3570,0#no#no#cellular#24#dec#3,0#202,0#2#failure#no
37344#31,0#blue-collar#married#secondary#no#864,0#yes#yes#cellular#13#may#1,0#-1,0#0#unknown#no
24482#57,0#management#married#tertiary#yes#-24,0#yes#no#telephone#17#nov#1,0#-1,0#0#unknown#no
22872#59,0#management#divorced#tertiary#no#6144,0#yes#no#cellular#25#aug#5,0#-1,0#0#unknown#no
6734#25,0#services#single#secondary#no#55,0#yes#yes#unknown#28#may#1,0#-1,0#0#unknown#no
15148#57,0#admin.#married#unknown#no#17,0#no#no#cellular#17#jul#4,0#-1,0#0#unknown#no
2338#25,0#blue-collar#single#primary#no#17,0#yes#no#unknown#13#may#2,0#-1,0#0#unknown#no
9825#45,0#housemaid#married#primary#no#1100,0#no#no#unknown#9#jun#6,0#-1,0#0#unknown#no
